measure,location,sex,age,cause,rei,metric,year,val (lower to upper)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2003,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2003,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2004,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2004,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2005,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2005,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2006,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2006,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2007,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2007,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2008,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2008,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2009,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2009,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2010,0.01 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2010,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2011,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2011,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2012,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2012,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2013,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2013,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2014,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2014,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2015,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2015,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2016,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2016,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2017,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2017,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2018,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2018,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2019,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2019,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2020,0.00 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2020,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2021,0.01 (0.00 to 0.01)
Deaths,China,Female,Age-standardized,Lower extremity peripheral arterial disease,Low physical activity,Rate,2021,0.00 (0.00 to 0.01)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,1990,0.87 (0.46 to 1.41)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,1990,1.00 (0.56 to 1.52)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,1991,0.87 (0.44 to 1.45)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,1991,1.00 (0.58 to 1.51)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,1992,0.87 (0.46 to 1.41)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,1992,0.99 (0.56 to 1.51)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,1993,0.87 (0.45 to 1.37)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,1993,0.99 (0.57 to 1.48)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,1994,0.86 (0.45 to 1.40)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,1994,0.98 (0.59 to 1.46)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,1995,0.86 (0.45 to 1.40)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,1995,0.97 (0.57 to 1.44)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,1996,0.86 (0.44 to 1.38)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,1996,0.96 (0.58 to 1.41)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,1997,0.86 (0.43 to 1.40)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,1997,0.94 (0.57 to 1.39)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,1998,0.86 (0.44 to 1.36)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,1998,0.94 (0.58 to 1.38)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,1999,0.86 (0.45 to 1.38)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,1999,0.94 (0.56 to 1.38)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2000,0.88 (0.44 to 1.41)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2000,0.93 (0.55 to 1.39)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2001,0.89 (0.44 to 1.42)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2001,0.93 (0.56 to 1.37)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2002,0.89 (0.44 to 1.41)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2002,0.91 (0.55 to 1.36)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2003,0.93 (0.45 to 1.45)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2003,0.91 (0.53 to 1.37)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2004,0.95 (0.45 to 1.51)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2004,0.92 (0.54 to 1.33)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2005,0.94 (0.45 to 1.48)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2005,0.91 (0.54 to 1.32)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2006,0.89 (0.45 to 1.37)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2006,0.86 (0.51 to 1.26)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2007,0.89 (0.45 to 1.37)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2007,0.84 (0.50 to 1.25)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2008,0.90 (0.45 to 1.37)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2008,0.83 (0.50 to 1.19)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2009,0.92 (0.47 to 1.48)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2009,0.83 (0.48 to 1.19)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2010,0.95 (0.47 to 1.51)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2010,0.83 (0.48 to 1.21)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2011,0.95 (0.48 to 1.49)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2011,0.82 (0.48 to 1.22)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2012,0.95 (0.47 to 1.47)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2012,0.79 (0.47 to 1.17)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2013,0.95 (0.47 to 1.47)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2013,0.77 (0.46 to 1.12)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2014,0.94 (0.47 to 1.45)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2014,0.75 (0.45 to 1.11)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2015,0.95 (0.47 to 1.45)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2015,0.75 (0.44 to 1.12)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2016,0.96 (0.48 to 1.52)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2016,0.77 (0.44 to 1.16)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2017,0.96 (0.49 to 1.53)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2017,0.77 (0.44 to 1.16)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2018,0.97 (0.49 to 1.53)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2018,0.78 (0.45 to 1.20)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2019,0.98 (0.51 to 1.61)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2019,0.79 (0.44 to 1.23)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2020,1.00 (0.51 to 1.63)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2020,0.80 (0.46 to 1.19)
Deaths,China,Male,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2021,1.00 (0.52 to 1.63)
Deaths,China,Female,Age-standardized,Colon and rectum cancer,Low physical activity,Rate,2021,0.79 (0.43 to 1.21)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1990,0.69 (0.28 to 1.21)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1990,1.07 (0.44 to 1.73)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1991,0.68 (0.28 to 1.13)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1991,1.06 (0.43 to 1.74)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1992,0.69 (0.27 to 1.17)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1992,1.07 (0.46 to 1.73)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1993,0.69 (0.27 to 1.16)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1993,1.08 (0.46 to 1.75)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1994,0.70 (0.29 to 1.16)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1994,1.09 (0.47 to 1.73)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1995,0.71 (0.28 to 1.21)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1995,1.11 (0.47 to 1.74)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1996,0.72 (0.28 to 1.20)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1996,1.12 (0.49 to 1.77)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1997,0.74 (0.28 to 1.24)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1997,1.12 (0.49 to 1.75)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1998,0.76 (0.31 to 1.28)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1998,1.15 (0.51 to 1.80)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1999,0.78 (0.31 to 1.32)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,1999,1.18 (0.52 to 1.90)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2000,0.82 (0.33 to 1.39)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2000,1.21 (0.53 to 1.93)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2001,0.85 (0.34 to 1.41)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2001,1.24 (0.55 to 1.99)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2002,0.87 (0.34 to 1.43)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2002,1.25 (0.55 to 1.97)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2003,0.92 (0.36 to 1.53)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2003,1.29 (0.56 to 2.06)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2004,0.95 (0.37 to 1.62)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2004,1.33 (0.57 to 2.05)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2005,0.94 (0.35 to 1.57)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2005,1.30 (0.57 to 2.05)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2006,0.87 (0.33 to 1.45)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2006,1.21 (0.50 to 1.90)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2007,0.85 (0.32 to 1.43)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2007,1.16 (0.51 to 1.82)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2008,0.85 (0.32 to 1.44)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2008,1.14 (0.51 to 1.84)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2009,0.87 (0.34 to 1.50)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2009,1.14 (0.49 to 1.81)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2010,0.89 (0.33 to 1.50)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2010,1.13 (0.48 to 1.81)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2011,0.87 (0.32 to 1.47)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2011,1.11 (0.49 to 1.75)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2012,0.86 (0.34 to 1.45)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2012,1.07 (0.44 to 1.74)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2013,0.87 (0.33 to 1.44)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2013,1.05 (0.46 to 1.69)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2014,0.87 (0.34 to 1.45)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2014,1.05 (0.45 to 1.66)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2015,0.87 (0.34 to 1.46)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2015,1.03 (0.44 to 1.63)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2016,0.87 (0.36 to 1.47)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2016,1.03 (0.45 to 1.67)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2017,0.87 (0.34 to 1.45)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2017,1.02 (0.42 to 1.68)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2018,0.86 (0.34 to 1.46)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2018,1.01 (0.42 to 1.65)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2019,0.86 (0.34 to 1.48)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2019,0.99 (0.43 to 1.65)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2020,0.86 (0.35 to 1.50)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2020,0.98 (0.41 to 1.57)
Deaths,China,Male,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2021,0.85 (0.34 to 1.44)
Deaths,China,Female,Age-standardized,Diabetes mellitus,Low physical activity,Rate,2021,0.97 (0.42 to 1.63)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,1990,0.58 (0.22 to 1.04)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,1990,0.55 (0.22 to 1.00)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,1991,0.58 (0.21 to 1.05)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,1991,0.55 (0.22 to 0.98)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,1992,0.58 (0.21 to 1.05)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,1992,0.55 (0.21 to 0.97)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,1993,0.57 (0.22 to 1.02)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,1993,0.55 (0.22 to 0.96)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,1994,0.56 (0.22 to 0.99)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,1994,0.54 (0.21 to 0.96)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,1995,0.56 (0.22 to 1.02)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,1995,0.54 (0.21 to 0.95)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,1996,0.55 (0.21 to 0.98)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,1996,0.52 (0.21 to 0.91)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,1997,0.53 (0.20 to 0.95)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,1997,0.50 (0.20 to 0.87)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,1998,0.52 (0.19 to 0.92)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,1998,0.48 (0.19 to 0.86)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,1999,0.50 (0.19 to 0.91)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,1999,0.47 (0.18 to 0.83)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2000,0.51 (0.20 to 0.91)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2000,0.47 (0.18 to 0.81)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2001,0.52 (0.19 to 0.93)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2001,0.48 (0.19 to 0.83)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2002,0.54 (0.20 to 0.98)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2002,0.48 (0.19 to 0.85)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2003,0.58 (0.22 to 1.04)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2003,0.49 (0.19 to 0.86)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2004,0.61 (0.23 to 1.09)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2004,0.51 (0.19 to 0.88)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2005,0.60 (0.22 to 1.10)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2005,0.50 (0.19 to 0.88)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2006,0.57 (0.21 to 1.00)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2006,0.47 (0.19 to 0.82)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2007,0.57 (0.21 to 1.02)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2007,0.45 (0.18 to 0.78)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2008,0.58 (0.22 to 1.02)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2008,0.45 (0.19 to 0.78)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2009,0.59 (0.23 to 1.03)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2009,0.45 (0.18 to 0.79)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2010,0.60 (0.23 to 1.03)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2010,0.46 (0.19 to 0.78)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2011,0.59 (0.23 to 1.02)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2011,0.45 (0.18 to 0.77)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2012,0.58 (0.23 to 1.02)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2012,0.43 (0.17 to 0.72)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2013,0.57 (0.22 to 1.02)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2013,0.42 (0.17 to 0.71)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2014,0.56 (0.22 to 0.98)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2014,0.42 (0.16 to 0.72)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2015,0.55 (0.21 to 0.98)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2015,0.41 (0.16 to 0.68)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2016,0.55 (0.21 to 0.97)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2016,0.40 (0.16 to 0.70)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2017,0.54 (0.20 to 1.00)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2017,0.41 (0.15 to 0.73)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2018,0.54 (0.21 to 0.97)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2018,0.41 (0.16 to 0.70)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2019,0.54 (0.20 to 1.01)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2019,0.41 (0.16 to 0.73)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2020,0.54 (0.20 to 0.99)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2020,0.41 (0.16 to 0.75)
Deaths,China,Male,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2021,0.57 (0.22 to 1.04)
Deaths,China,Female,Age-standardized,Chronic kidney disease,Low physical activity,Rate,2021,0.44 (0.16 to 0.76)
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,1990,7.11 (2.04 to 13.69)
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,1990,9.37 (3.65 to 17.13)
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,1991,7.10 (2.06 to 14.01)
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,1991,9.23 (3.52 to 16.50)
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,1992,7.11 (2.14 to 14.04)
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,1992,9.16 (3.59 to 16.76)
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,1993,7.13 (2.10 to 13.51)
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,1993,9.13 (3.50 to 16.23)
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,1994,7.09 (2.21 to 13.45)
Deaths,China,Female,Age-standardized,All causes,Low physical activity,Rate,1994,9.10 (3.43 to 16.63)
Deaths,China,Male,Age-standardized,All causes,Low physical activity,Rate,1995,7.14 (2.14 to 13.79)
